mlbam_id,name,pos,team,IP,GS,G,W,L,ERA,WHIP,K9,BB9,K,BB,H_allowed,HR_allowed,role
666142,Cole Ragans,P,KC,32.3,7,7,1,4,5.29,1.45,11.41,5.85,41,21,26,10,SP
663903,Brady Singer,P,CIN,32.3,7,7,2,2,5.57,1.73,5.57,2.51,20,9,47,7,SP
641793,Zack Littell,P,WSH,32.3,5,7,1,4,7.24,1.61,4.73,3.34,17,12,40,13,SP
668678,Zac Gallen,P,AZ,32.3,7,7,1,2,4.45,1.52,5.57,2.78,20,10,39,2,SP
702070,Noah Cameron,P,KC,31.7,6,6,2,2,5.40,1.61,7.96,3.13,28,11,40,5,SP
694477,Chad Patrick,P,MIL,31.3,5,7,2,2,3.45,1.44,5.74,4.60,20,16,29,2,SP
621121,Lance McCullers Jr.,P,HOU,31.3,6,6,2,2,6.32,1.40,9.48,4.88,33,17,27,4,SP
594798,Jacob deGrom,P,TEX,31.3,6,6,2,1,2.01,0.96,11.49,2.01,40,7,23,4,SP
669467,Andre Pallante,P,STL,31.3,6,6,3,2,3.73,1.31,7.47,4.02,26,14,27,4,SP
669194,Ryne Nelson,P,AZ,31.3,7,7,1,3,6.61,1.44,8.04,3.73,28,13,32,7,SP
641778,Eric Lauer,P,TOR,31.3,6,7,1,4,6.03,1.50,6.32,4.02,22,14,33,8,SP
686218,Emmet Sheehan,P,LAD,31.0,6,6,2,1,5.23,1.32,10.45,2.61,36,9,32,6,SP
579328,Yusei Kikuchi,P,LAA,31.0,7,7,0,3,5.81,1.58,9.58,4.06,33,14,35,3,SP
663554,Casey Mize,P,DET,31.0,6,6,2,2,2.90,1.19,10.16,3.19,35,11,26,2,SP
663978,Chris Paddack,P,MIA,30.7,6,7,0,5,7.63,1.66,7.92,2.93,27,10,41,6,SP
656876,Drew Rasmussen,P,TB,30.7,6,6,2,1,2.64,0.85,9.39,1.47,32,5,21,5,SP
647336,Michael Soroka,P,AZ,30.7,6,6,4,1,4.70,1.43,10.57,2.64,36,9,35,3,SP
676917,Cade Cavalli,P,WSH,30.7,7,7,1,1,3.82,1.66,11.15,4.11,38,14,37,1,SP
669432,Trevor Rogers,P,BAL,30.3,6,6,2,3,4.75,1.45,8.01,2.97,27,10,34,3,SP
605288,Adrian Houser,P,SF,30.3,6,6,0,3,7.12,1.71,4.75,2.97,16,10,42,6,SP
676979,Garrett Crochet,P,BOS,30.0,6,6,3,3,6.30,1.47,11.10,3.30,37,11,33,5,SP
682052,Jacob Lopez,P,ATH,30.0,6,7,2,2,6.60,1.90,6.90,6.60,23,22,35,6,SP
641743,Anthony Kay,P,CWS,30.0,5,7,1,1,5.70,1.67,6.00,4.50,20,15,35,6,SP
605540,Brandon Woodruff,P,MIL,30.0,6,6,2,1,3.60,1.03,7.50,2.10,25,7,24,4,SP
690986,Kyle Harrison,P,MIL,29.7,6,6,3,1,2.12,1.11,10.62,2.73,35,9,24,2,SP
608566,Germán Márquez,P,SD,29.7,6,6,3,2,5.76,1.45,5.76,3.64,19,12,31,8,SP
694297,Brandon Pfaadt,P,AZ,29.3,3,7,0,1,5.83,1.43,6.75,4.30,22,14,28,5,SP
669372,J.T. Ginn,P,ATH,29.3,5,8,0,1,4.30,1.26,7.06,4.30,23,14,23,4,SP
696149,Bubba Chandler,P,PIT,29.0,6,6,1,3,4.97,1.48,8.38,6.21,27,20,23,5,SP
663556,Shane McClanahan,P,TB,29.0,6,6,3,2,3.10,1.17,9.31,4.03,30,13,21,1,SP
691725,Andrew Painter,P,PHI,29.0,5,6,1,3,5.28,1.59,8.69,2.79,28,9,37,3,SP
656427,Jack Flaherty,P,DET,29.0,7,7,0,2,5.90,1.79,9.93,7.76,32,25,27,5,SP
677958,Kumar Rocker,P,TEX,28.7,6,6,1,3,4.71,1.47,7.53,3.14,24,10,32,3,SP
808963,Roki Sasaki,P,LAD,28.7,6,6,1,3,5.97,1.67,8.16,4.71,26,15,33,8,SP
527048,Martín Pérez,P,ATL,28.3,4,6,2,1,2.22,0.99,6.04,3.18,19,10,18,3,SP
682227,Brandon Williamson,P,CIN,28.0,6,6,2,3,6.11,1.64,6.11,6.43,19,20,26,4,SP
605135,Chris Bassitt,P,BAL,28.0,6,6,2,2,5.46,1.86,5.46,4.50,17,14,38,3,SP
571945,Miles Mikolas,P,WSH,27.3,4,7,0,3,8.23,1.72,6.26,3.62,19,11,36,8,SP
687075,Brandon Sproat,P,MIL,26.7,4,6,0,2,6.75,1.61,8.44,5.06,25,15,28,7,SP
680802,Ryan Weiss,P,HOU,26.0,2,9,0,3,7.62,2.12,10.38,6.92,30,20,35,8,SP
678394,Brayan Bello,P,BOS,25.7,6,6,1,4,9.12,2.26,5.96,5.26,17,15,43,8,SP
621111,Walker Buehler,P,SD,25.0,6,6,1,2,5.40,1.56,8.64,4.32,24,12,27,1,SP
607536,Kyle Freeland,P,COL,25.0,5,5,1,3,5.04,1.36,8.64,2.88,24,8,26,4,SP
571578,Patrick Corbin,P,TOR,24.7,5,5,1,0,3.65,1.26,7.30,2.55,20,7,24,3,SP
625643,Reynaldo López,P,ATL,24.7,5,7,2,1,3.28,1.34,8.39,4.38,23,12,21,4,SP
500779,Jose Quintana,P,COL,24.3,5,5,1,2,4.07,1.36,4.44,4.07,12,11,22,5,SP
571510,Matthew Boyd,P,CHC,24.0,5,5,2,1,6.00,1.29,11.63,2.25,31,6,25,2,SP
543243,Sonny Gray,P,BOS,23.0,5,5,2,1,4.30,1.30,5.09,1.96,13,5,25,3,SP
681293,Spencer Arrighetti,P,HOU,23.0,4,4,4,0,1.96,1.30,9.78,5.48,25,14,16,1,SP
678906,Kai-Wei Teng,P,HOU,23.0,1,14,1,2,2.35,0.96,8.61,2.74,22,7,15,3,SP
669947,Jesse Scholtens,P,TB,22.7,1,5,3,1,3.18,1.15,6.75,2.38,17,6,20,2,SP
592836,Taijuan Walker,P,PHI,22.7,4,5,1,4,9.13,2.07,6.75,4.37,17,11,36,8,SP
668964,Tobias Myers,P,NYM,22.0,1,10,0,1,2.05,0.86,6.55,1.64,16,4,15,2,SP
702273,Noah Schultz,P,CWS,21.3,4,4,2,1,2.53,1.03,8.44,5.06,20,12,10,1,SP
676879,Aaron Ashby,P,MIL,21.0,1,16,5,0,2.57,1.43,14.57,5.57,34,13,17,1,SP
608718,Brent Suter,P,LAA,20.7,1,13,1,1,3.92,1.31,8.71,3.48,20,8,19,3,SP
690953,Mick Abel,P,MIN,20.3,3,4,1,2,3.98,1.57,10.18,4.43,23,10,22,0,SP
663372,Ryan Feltner,P,COL,20.0,5,5,1,1,6.30,1.50,7.65,3.60,17,8,22,5,SP
673540,Kodai Senga,P,NYM,20.0,5,5,0,4,9.00,1.95,10.35,5.85,23,13,26,5,SP
661563,Luis Gil,P,NYY,19.3,4,4,1,2,6.05,1.34,4.19,5.12,9,11,15,6,SP
665871,Javier Assad,P,CHC,19.0,3,5,2,1,7.58,1.47,5.21,2.84,11,6,22,3,SP
518876,Merrill Kelly,P,AZ,19.0,4,4,1,3,9.95,2.32,6.63,7.11,14,15,29,6,SP
453286,Max Scherzer,P,TOR,18.7,5,5,1,3,9.64,1.61,4.82,3.86,10,8,22,7,SP
642121,Cole Sulser,P,TB,18.7,1,14,1,0,2.89,1.45,7.23,3.86,15,8,19,1,SP
680755,Braydon Fisher,P,TOR,18.3,1,17,2,0,2.95,1.15,8.84,3.44,18,7,14,1,SP
641835,Tim Mayza,P,PHI,18.0,1,15,0,1,3.50,1.06,9.00,3.50,18,7,12,2,SP
656641,Jacob Latz,P,TEX,17.7,1,14,0,1,1.02,0.45,7.64,1.53,15,3,5,1,SP
801139,Payton Tolle,P,BOS,17.7,3,3,1,1,2.04,0.74,11.72,3.06,23,6,7,1,SP
676571,PJ Poulin,P,WSH,17.3,5,17,2,0,3.63,1.33,6.23,4.67,12,9,14,3,SP
702275,JR Ritchie,P,ATL,17.3,3,3,1,0,3.63,1.50,6.75,6.23,13,12,14,4,SP
675848,Juan Mejia,P,COL,17.3,1,14,0,3,5.19,1.62,11.42,3.63,22,7,21,2,SP
623211,Huascar Brazobán,P,NYM,16.7,1,15,2,0,1.08,0.84,7.02,1.62,13,3,11,1,SP
691799,Grant Taylor,P,CWS,16.7,4,13,1,0,2.70,1.38,13.50,3.24,25,6,17,0,SP
660761,José Suarez,P,SEA,16.3,1,8,0,1,6.61,2.08,11.57,6.61,21,12,22,0,SP
700249,Cade Povich,P,BAL,16.3,2,3,1,1,4.41,1.29,6.06,2.76,11,5,16,3,SP
700712,Walbert Ureña,P,LAA,16.3,3,5,0,3,3.86,1.84,9.37,7.16,17,13,17,1,SP
669084,DL Hall,P,MIL,16.0,1,14,0,0,1.69,1.25,10.69,6.19,19,11,9,1,SP
601713,Nick Pivetta,P,SD,16.0,4,4,1,2,4.50,1.13,13.50,3.38,24,6,12,0,SP
663542,Bryan Hudson,P,CWS,16.0,2,17,0,0,1.13,1.38,11.25,4.50,20,8,14,0,SP
595345,Steven Okert,P,HOU,15.7,1,18,0,0,4.60,1.40,6.32,4.02,11,7,15,2,SP
671212,Joe Boyle,P,TB,15.7,3,3,0,1,5.17,1.09,9.19,3.45,16,6,11,1,SP
673929,Jordan Leasure,P,CWS,15.3,1,15,2,1,6.46,1.30,8.80,4.70,15,8,12,5,SP
663567,Peter Lambert,P,HOU,15.3,3,3,1,2,3.52,1.24,11.15,4.11,19,7,12,0,SP
663947,Tyler Holton,P,DET,14.7,2,15,0,1,4.91,1.91,6.75,4.91,11,8,20,2,SP
687064,Brandon Young,P,BAL,14.7,3,3,2,1,4.30,1.57,5.52,3.07,9,5,18,3,SP
657514,Brennan Bernardino,P,COL,14.3,2,16,2,1,1.88,1.12,7.53,1.88,12,3,13,1,SP
687570,Connor Prielipp,P,MIN,14.0,3,3,1,0,3.86,0.93,9.64,3.21,15,5,8,2,SP
643377,Griffin Jax,P,TB,14.0,2,13,1,2,5.14,1.50,9.00,5.79,14,9,12,3,SP
623474,Jimmy Herget,P,COL,14.0,3,13,0,1,4.50,1.29,9.00,1.93,14,3,15,1,SP
663362,Matt Waldron,P,SD,13.7,3,3,0,1,9.88,1.98,5.27,3.29,8,5,22,3,SP
682254,Mason Montgomery,P,PIT,13.3,2,14,1,0,3.38,1.35,14.85,4.73,22,7,11,1,SP
675660,Shane Drohan,P,MIL,13.0,1,5,1,1,4.15,1.46,6.92,4.15,10,6,13,0,SP
669438,Mason Englert,P,TB,12.7,1,9,0,1,7.11,1.82,7.11,2.84,10,4,19,4,SP
689254,Mason Fluharty,P,TOR,12.3,1,18,1,0,6.57,1.62,12.41,5.11,17,7,13,1,SP
675989,Cody Bolton,P,HOU,11.7,3,5,0,1,4.63,1.80,10.80,6.94,14,9,12,1,SP
665152,Dean Kremer,P,BAL,11.0,2,2,0,1,4.09,0.91,13.09,1.64,16,2,8,4,SP
554430,Zack Wheeler,P,PHI,11.0,2,2,1,0,2.45,1.00,11.45,4.09,14,5,6,0,SP
686613,Hunter Brown,P,HOU,10.7,2,2,1,0,0.84,1.03,14.34,5.06,17,6,5,0,SP
800311,Didier Fuentes,P,ATL,10.7,1,5,1,0,4.22,1.13,10.13,2.53,12,3,9,1,SP
